country,year,depression_prevalence_pct,anxiety_prevalence_pct,suicide_rate_per_100k,mental_health_spend_gdp_pct,psychiatrists_per_100k,treatment_gap_pct,youth_mental_health_pct,social_media_avg_hours_day,loneliness_index_0_100
United States,2019,7.1,19.1,14.2,5.5,16.0,57,15.2,2.8,45
United States,2020,8.4,26.3,13.5,5.6,16.5,55,18.9,3.1,51
United States,2021,9.0,29.5,13.5,5.7,16.8,54,20.1,3.3,54
United States,2022,8.3,23.4,13.2,5.8,17.1,53,18.8,3.2,52
United States,2023,8.0,21.8,13.0,5.9,17.4,52,17.5,3.0,50
United Kingdom,2019,5.9,14.8,11.1,4.2,12.8,62,12.4,2.5,43
United Kingdom,2020,7.1,19.6,10.0,4.4,13.1,60,16.1,2.8,49
United Kingdom,2021,7.8,22.4,10.4,4.5,13.4,59,17.8,3.0,52
United Kingdom,2022,7.2,18.2,10.7,4.6,13.6,58,16.1,2.9,50
United Kingdom,2023,6.9,16.9,10.5,4.8,13.9,57,15.3,2.7,48
Germany,2019,5.3,12.8,12.0,3.8,28.4,48,11.2,2.3,38
Germany,2020,6.5,17.3,11.4,3.9,28.8,47,14.8,2.6,44
Germany,2021,7.0,19.8,11.8,4.1,29.1,46,16.2,2.8,46
Germany,2022,6.4,15.6,12.1,4.2,29.4,45,14.5,2.7,44
Germany,2023,6.1,14.2,11.9,4.3,29.8,44,13.8,2.5,42
Japan,2019,4.2,6.0,15.3,1.9,12.5,70,8.8,2.1,55
Japan,2020,5.1,8.5,16.4,2.0,12.8,69,11.4,2.4,60
Japan,2021,5.8,10.2,16.8,2.1,13.0,68,13.0,2.5,62
Japan,2022,5.2,8.1,17.0,2.2,13.2,67,11.6,2.4,59
Japan,2023,5.0,7.4,16.5,2.3,13.5,66,10.9,2.3,57
Brazil,2019,5.8,9.3,6.9,2.5,3.2,78,12.2,3.8,40
Brazil,2020,7.0,13.4,6.6,2.6,3.4,77,15.8,4.1,46
Brazil,2021,7.6,15.6,7.0,2.7,3.6,76,17.4,4.3,49
Brazil,2022,7.0,12.1,6.8,2.8,3.8,75,15.7,4.2,47
Brazil,2023,6.7,11.0,6.5,2.9,4.0,74,15.0,4.0,45
