country,year,median_age,population_65plus_pct,old_age_dependency_ratio,pension_spend_gdp_pct,statutory_retirement_age,elder_care_beds_per_1000_elderly,dementia_cases_per_1000_aged_65plus,healthy_life_expectancy,total_fertility_rate
Japan,2023,49.1,29.1,51.4,11.8,65,64.4,88.4,74.4,1.21
Italy,2023,47.2,23.8,38.8,15.8,67,44.4,82.4,72.8,1.24
Portugal,2023,46.2,23.4,36.8,13.4,66,42.4,82.8,72.4,1.4
Finland,2023,44.4,22.8,38.4,14.4,65,78.4,78.4,74.4,1.37
Germany,2023,46.2,22.4,36.4,10.8,67,56.4,80.4,72.8,1.53
Greece,2023,46.8,23.2,37.4,16.2,67,44.4,82.8,72.4,1.34
Spain,2023,45.4,20.8,32.8,12.4,67,42.8,82.4,73.4,1.24
South Korea,2023,44.4,18.4,28.8,5.4,63,58.4,80.8,73.4,0.78
Sweden,2023,41.4,20.4,32.4,8.8,65,78.4,74.4,74.8,1.67
France,2023,42.2,21.4,34.8,14.8,64,62.4,80.8,73.8,1.84
United Kingdom,2023,40.4,19.4,31.4,8.8,67,52.4,80.4,71.4,1.61
Canada,2023,41.4,19.4,30.4,5.4,65,52.4,78.4,72.4,1.44
Australia,2023,38.4,17.4,27.4,4.4,67,54.4,78.4,73.4,1.66
United States,2023,38.4,17.4,27.8,7.8,67,44.4,78.8,68.4,1.64
China,2023,39.4,15.4,24.4,4.8,60,22.4,74.8,68.8,1.09
Russia,2023,41.4,16.4,27.4,7.8,63,24.4,74.8,62.4,1.5
Brazil,2023,34.4,11.4,19.4,8.8,65,14.4,68.4,65.8,1.74
Argentina,2023,32.4,12.4,21.4,9.4,65,14.4,68.8,68.4,2.2
Mexico,2023,29.4,8.4,14.4,3.4,65,8.4,64.4,67.8,2.08
Indonesia,2023,29.8,7.4,12.4,1.8,58,6.4,64.8,64.8,2.18
India,2023,28.4,7.1,12.8,1.4,60,4.4,64.4,60.8,2.01
Bangladesh,2023,27.4,5.8,10.4,0.4,60,2.4,58.4,64.4,2.01
Nigeria,2023,18.4,3.4,6.8,1.4,60,0.8,54.4,54.4,5.14
Ethiopia,2023,18.8,3.8,7.4,1.4,60,0.4,52.4,56.4,4.12
Afghanistan,2023,18.4,2.8,6.4,0.4,60,0.4,48.4,52.4,4.64
Mali,2023,16.4,2.8,5.8,0.8,58,0.2,48.8,52.8,5.88
Saudi Arabia,2023,31.4,4.4,6.8,2.8,60,8.4,64.4,68.4,2.44
Turkey,2023,32.8,9.4,16.4,7.8,65,14.4,66.8,68.4,1.92
Poland,2023,42.4,18.8,31.4,11.8,65,44.4,80.4,70.4,1.26
Thailand,2023,40.4,15.8,26.4,1.8,60,18.4,68.8,68.8,1.34
